Author,Shubham Malik
GitHub,https://github.com/subhm2004
Repo,https://github.com/subhm2004/DSA-CP
Tracker,DSA Patterns — progress tracker (Done/Todo auto-mapped from repo)
Generated,2026-08-07

sr,category_no,category,pattern_no,pattern,leetcode_id,problem,status,repo_file,in_30day_core,leetcode_url
1,1,Two Pointer Patterns,1,Converging,11,Container With Most Water,Done,CP/two_pointers/container_with_most_water.cpp | DSA/two_pointers/container_with_most_water.cpp,Yes,https://leetcode.com/problems/container-with-most-water/
2,1,Two Pointer Patterns,1,Converging,15,3Sum,Done,CP/two_pointers/three_sum.cpp | DSA/two_pointers/three_sum.cpp,Yes,https://leetcode.com/problems/3sum/
3,1,Two Pointer Patterns,1,Converging,16,3Sum Closest,Todo,,No,https://leetcode.com/problems/3sum-closest/
4,1,Two Pointer Patterns,1,Converging,18,4Sum,Todo,,No,https://leetcode.com/problems/4sum/
5,1,Two Pointer Patterns,1,Converging,167,Two Sum II - Input Array Is Sorted,Done,CP/two_pointers/two_sum_sorted.cpp | DSA/two_pointers/two_sum_sorted.cpp,Yes,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/
6,1,Two Pointer Patterns,1,Converging,349,Intersection of Two Arrays,Todo,,No,https://leetcode.com/problems/intersection-of-two-arrays/
7,1,Two Pointer Patterns,1,Converging,881,Boats to Save People,Todo,,No,https://leetcode.com/problems/boats-to-save-people/
8,1,Two Pointer Patterns,1,Converging,977,Squares of a Sorted Array,Todo,,No,https://leetcode.com/problems/squares-of-a-sorted-array/
9,1,Two Pointer Patterns,1,Converging,259,3Sum Smaller,Todo,,No,https://leetcode.com/problems/3sum-smaller/
10,1,Two Pointer Patterns,2,Fast & Slow,141,Linked List Cycle,Done,DSA/linked_list/tortoise_algo.cpp,Yes,https://leetcode.com/problems/linked-list-cycle/
11,1,Two Pointer Patterns,2,Fast & Slow,202,Happy Number,Todo,,No,https://leetcode.com/problems/happy-number/
12,1,Two Pointer Patterns,2,Fast & Slow,287,Find the Duplicate Number,Done,DSA/arrays/duplicate_number.cpp,Yes,https://leetcode.com/problems/find-the-duplicate-number/
13,1,Two Pointer Patterns,2,Fast & Slow,392,Is Subsequence,Todo,,No,https://leetcode.com/problems/is-subsequence/
14,1,Two Pointer Patterns,3,Fixed Separation,19,Remove Nth Node From End of List,Todo,,Yes,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
15,1,Two Pointer Patterns,3,Fixed Separation,876,Middle of the Linked List,Done,DSA/linked_list/middle_of_linked_list.cpp,No,https://leetcode.com/problems/middle-of-the-linked-list/
16,1,Two Pointer Patterns,3,Fixed Separation,2095,Delete the Middle Node of a Linked List,Todo,,No,https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/
17,1,Two Pointer Patterns,4,In-place Array Modification,26,Remove Duplicates from Sorted Array,Done,DSA/two_pointers/remove_duplicates_sorted_array.cpp,Yes,https://leetcode.com/problems/remove-duplicates-from-sorted-array/
18,1,Two Pointer Patterns,4,In-place Array Modification,27,Remove Element,Todo,,No,https://leetcode.com/problems/remove-element/
